EmployeeID,EmployeeName,Email,PhoneNumber,Address,Department,Performance,Salary,HiringDate,JobTitle,WorkExperience,CurrentTask,IdleTimeHours
3719,Nicholas Jackson,coreybowen@example.org,977.466.4119,"6176 Andrew Grove, West Robertchester, NV 25097",IT,9.98,73861.12,2012-11-25,Pathologist,13,Meeting with Client,0.87
3265,Edward Hill,marywallace@example.org,+1-403-975-8305x7206,"998 Hunter Street Suite 264, South Emilyville, ND 76992",IT,1.46,66314.48,2004-03-20,"Administrator, local government",17,Research,2.47
2276,Ronald Bruce,mahoneysamuel@example.com,399.874.3477,"292 Janet Valleys, Thorntonport, NY 92240",Marketing,1.43,32661.97,2021-12-31,Physiotherapist,5,Research,4.71
1128,Megan White,wshah@example.net,001-463-345-3044x68227,"053 Dennis Courts, Baileymouth, PA 38611",Marketing,3.03,118790.19,2006-09-10,Interpreter,10,Research,3.39
4399,Kimberly Scott,chunggarrett@example.org,629-375-3353x41014,"2747 Rodriguez Course, Jessicaborough, PA 55521",Marketing,2.73,108317.49,2010-12-29,Oncologist,16,Research,2.62
8114,David Smith,whall@example.org,(298)647-5997,"24908 Macias Cape, Lake Angelamouth, ID 78995",Marketing,2.3,94277.84,2002-12-29,Environmental health practitioner,13,Research,2.52
3603,Garrett Fisher,nicholsbrandi@example.net,989.649.3888,"324 Diaz Roads, Port Sandy, WV 07944",IT,6.07,98391.19,2014-11-26,"Engineer, manufacturing",7,Meeting with Client,4.63
6388,Paula Bishop,kimberly07@example.net,001-219-924-4004x1322,"787 Kenneth Plains, Amyburgh, NC 00883",Sales,4.12,80494.55,2013-12-29,Food technologist,7,Working on Project A,2.86
6096,James Rhodes,seanhill@example.com,878-919-5013x631,"1183 Dawn Pines Suite 360, South James, GA 53536",IT,6.1,43704.83,2020-10-23,Police officer,2,Coding,1.65
4821,Ricky Ryan,smithsherri@example.org,384-638-3484x129,"5776 Sandra Rapid, Taylorside, NE 93864",Marketing,6.51,32113.13,2003-12-29,"Scientist, marine",6,Research,0.37
8945,Sharon Tucker,bonillajoshua@example.com,001-777-724-3803,"28740 Barnes Trace Suite 543, South Alexanderland, OH 35257",HR,5.47,62209.16,2009-11-18,Warehouse manager,4,Research,0.62
7745,Maureen Edwards,stephenosborn@example.org,596-511-7197x6145,"3329 Gates Track, Tiffanymouth, DC 23795",IT,1.61,79309.6,2001-04-01,"Scientist, biomedical",5,Coding,1.61
4149,Jessica Wiggins,wyattaustin@example.net,(486)911-4614,"65176 Gallegos Crescent, Hayesview, OR 69551",IT,6.93,49441.3,2001-04-30,"Horticulturist, amenity",8,Coding,4.02
5573,Rebecca Best,zconway@example.net,(711)511-0295x4897,"2021 Alison Stream Suite 732, East Matthewland, MA 42108",HR,4.46,86959.58,2000-06-24,Herpetologist,2,Meeting with Client,3.42
9585,Tamara Rivera,jacksonjames@example.com,(493)280-4518x7924,"52476 Sutton Walk, Christensenchester, NH 00872",Marketing,5.29,105065.09,2003-05-18,"Engineer, broadcasting (operations)",13,Working on Project A,1.37
5704,Stephen Arnold,bjohnson@example.net,396-866-2642,"6244 Smith Mills Suite 984, Lake Madisonport, LA 54102",IT,2.29,108588.13,2014-04-01,Health physicist,14,Research,4.46
5398,Gary Berry,christian24@example.net,001-499-664-2737x403,"570 Anthony Orchard, Julieberg, WV 17457",Sales,7.7,52891.22,2001-10-21,Drilling engineer,17,Meeting with Client,2.29
4508,Gregory Sparks,gdiaz@example.net,+1-398-858-8557x31951,"0518 Yolanda Turnpike, Lake Emmamouth, WA 32890",IT,7.57,52598.01,2002-06-21,Quantity surveyor,16,Research,0.77
3316,Tracy Todd,nicole67@example.com,362.485.8170x3663,"100 Karen Drive Apt. 372, South Jesse, WI 76077",Sales,6.7,105762.26,2022-08-16,Outdoor activities/education manager,12,Research,3.24
8361,Angela Hanna,kirbybrett@example.org,(692)813-8763,"83332 Madison Expressway Suite 252, Port Todd, VT 25034",Sales,4.66,74803.07,2004-11-06,"Designer, ceramics/pottery",9,Working on Project A,2.69
9759,Krista Manning,manderson@example.org,968.241.9996x318,"83756 Juan Club Suite 924, Jonesmouth, NJ 43551",Sales,2.52,86556.96,2011-07-20,Mudlogger,9,Meeting with Client,4.98
9543,Dustin Green,johnburch@example.com,+1-483-688-4061x263,"49999 Laura Orchard Apt. 173, South Brian, MI 06621",Marketing,1.52,55824.44,2020-12-04,Hydrographic surveyor,3,Meeting with Client,3.38
8446,Mr. Glenn Wright,elizabeth58@example.com,001-639-987-7762x91708,"13274 Matthew Crossroad, Cookmouth, RI 23646",Sales,8.66,88372.16,2005-10-22,Farm manager,13,Meeting with Client,0.57
4459,Dr. Edwin Mccall,nicholeclark@example.org,771-931-5033,"93182 Mcclure Trail Suite 036, Cynthiashire, GU 74358",IT,3.6,30732.92,2020-06-29,Oceanographer,4,Meeting with Client,1.01
6948,Alan Allen,wmurphy@example.com,246.317.7409x832,"35395 Michele Land Suite 795, North Parker, IA 82742",IT,6.73,59874.69,2004-01-01,Early years teacher,10,Meeting with Client,3.05
4604,Jeremy Page,kgonzalez@example.net,3128283646,"92498 Cox Lodge Apt. 245, Keithfort, IA 34344",Marketing,3.42,63851.29,2014-02-11,Oncologist,8,Working on Project A,0.41
4942,Felicia Campbell,silvasarah@example.org,001-312-589-9931x94925,"2616 Walsh Canyon, Boydbury, MA 10103",IT,1.66,105923.48,2019-04-01,Network engineer,17,Working on Project A,3.16
7435,Willie Henry,stephanie39@example.net,(702)830-8259,"PSC 9908, Box 0628, APO AE 36121",IT,1.0,79886.11,2003-09-18,Hydrographic surveyor,11,Working on Project A,1.31
5766,Pamela Trevino,wheelermelissa@example.com,8499789310,"389 Williams Crest, South Jasonberg, GU 97642",Sales,9.13,67414.82,2016-06-08,Product designer,13,Meeting with Client,0.4
9532,Gregory Lee,yodermercedes@example.com,(590)823-7592,"6392 Ward Village Apt. 161, Port John, PA 12688",IT,6.56,66533.19,2005-01-08,Social worker,20,Working on Project A,3.44
5985,Emily Lewis,nhayes@example.org,960.726.8030x966,"20961 Clark Underpass, New Veronicaside, MT 88397",IT,6.11,54633.79,2010-07-03,Actuary,8,Research,1.8
8949,Jessica Davis,smithcynthia@example.org,2813592761,"1923 Wood Walks, Jacksonview, WY 13926",HR,9.34,64982.62,2012-08-06,"Engineer, drilling",19,Working on Project A,1.25
9872,Jeffrey Pham,aallison@example.org,001-270-805-6611x5811,"614 April Ferry Apt. 965, Simsmouth, MP 79890",Marketing,5.98,51551.15,2011-06-13,Archaeologist,16,Working on Project A,3.43
7768,Tiffany Roberts,hcowan@example.net,466-252-4780,"54691 Johnson Estate Apt. 927, North Kevin, WV 65487",Marketing,9.28,75593.79,2007-05-08,Exercise physiologist,6,Research,2.02
4728,Christina Schneider,alopez@example.net,+1-769-386-3717x3056,"2075 Julia Points, North Laura, PA 29290",HR,3.06,41113.38,2001-02-27,Financial adviser,11,Meeting with Client,1.47
9153,Anne Lopez,emilymendez@example.com,469.530.7235x65215,"36629 Nelson Shores Apt. 198, East Katherinebury, NE 18927",IT,8.5,117945.67,2013-04-16,"Engineer, maintenance",17,Working on Project A,1.13
8640,Anita Smith,barbara74@example.com,3967912441,"819 Williams Locks, Corymouth, MS 36116",Sales,2.25,87657.72,2023-06-11,"Therapist, horticultural",7,Research,3.44
6286,Jerry Mitchell,aaronhooper@example.com,2164900955,"967 Timothy Mill, Lake Kaylafurt, OR 60915",Sales,2.29,54354.46,2017-05-11,Marine scientist,17,Working on Project A,1.56
9220,Lisa Morales,robinperry@example.org,707.639.3144,"0776 Alvarado Brooks Apt. 996, Zhangchester, AR 34015",IT,9.51,70213.09,2001-12-30,"Scientist, physiological",4,Working on Project A,3.46
9415,Stephen Dean,orozcokyle@example.com,+1-349-568-0617x59744,"241 King Islands Apt. 243, Port Lonnie, OH 28196",HR,6.45,44957.43,2011-04-21,Newspaper journalist,3,Coding,4.52
1409,Karen George,wallacekristina@example.org,405-522-2520,"2125 Miranda Club, Sotohaven, WY 32634",IT,3.27,112034.73,2019-04-26,Hospital pharmacist,4,Research,0.81
8160,Jennifer Brooks,dorothythompson@example.com,001-795-915-0224,"0102 Mccarthy Parkways Apt. 479, South Phillip, MD 84700",IT,5.89,98663.61,2004-12-01,Chartered certified accountant,17,Coding,1.3
8538,Kristen Hall,melinda23@example.com,(716)433-5782x32825,"281 Nicholas Trace Apt. 247, Kevinburgh, IA 19749",Sales,2.83,111108.97,2018-05-02,Make,5,Working on Project A,1.38
1395,Erica Manning,shermanmarcus@example.net,(306)879-2613,"749 Jennifer Road, Gilbertview, AR 06596",IT,6.03,57051.14,2014-01-28,Education administrator,1,Coding,3.2
4353,Jeff Fox,mfleming@example.net,9815633125,"455 Rachel Fort Apt. 348, New Rachelbury, GU 63238",IT,3.96,52308.0,2018-12-27,"Engineer, site",16,Research,2.4
5899,Jeffery Brown,bookerlisa@example.net,+1-870-384-2642x88048,"5447 Christopher Spurs Apt. 515, North Darleneville, CA 43285",Sales,1.28,76580.8,2009-02-05,"Designer, interior/spatial",12,Working on Project A,3.91
8149,Deanna Tran,carlbrown@example.com,287-611-9173x2734,"0060 Garrett Plains, Combsport, VT 45583",Sales,2.05,105229.4,2000-06-24,Camera operator,10,Meeting with Client,4.49
5007,Eric Tran,qdavis@example.net,+1-663-776-7808x3916,"0656 Joseph Divide, Farmerview, MT 26796",IT,8.27,117223.69,2018-05-23,"Radiographer, therapeutic",13,Research,1.72
3334,Diana Webb,thomas74@example.net,(233)873-2875x8396,"34507 Walter Pike Apt. 892, West Samuel, WY 83443",Marketing,7.67,98707.71,2013-01-30,"Scientist, marine",6,Working on Project A,2.22
8536,Holly Stewart,melissapark@example.org,4575743867,"189 Morales Overpass Apt. 793, East Stacie, MS 21150",HR,9.46,34817.49,2012-10-15,Product manager,6,Meeting with Client,0.75
9439,Gerald Charles,teresaberry@example.net,001-718-328-5876,"87977 Robinson Glens, Scotttown, WI 23412",Sales,9.17,43082.9,2001-01-23,"Engineer, communications",7,Working on Project A,4.15
4752,Kelly Delgado,qreid@example.org,547.834.8362x25750,"7503 Allen Shoals, Lake Carlfort, PW 94781",IT,3.2,48038.1,2022-09-16,Operational investment banker,16,Working on Project A,4.12
7190,Elizabeth Mcdonald,castanedajimmy@example.com,001-445-576-6259x52436,"8850 Karen Island Apt. 725, North Kaylaton, MH 29451",HR,3.01,80401.08,2001-07-23,Research scientist (medical),19,Working on Project A,1.85
8873,Kathryn Gonzales,ricejason@example.net,751.700.1047x92995,"Unit 2236 Box 4638, DPO AA 87794",Sales,1.5,33969.4,2001-07-12,Theatre director,6,Research,1.62
5250,Katie Middleton,williamcoleman@example.com,792-495-4263x6457,"911 Stephanie Greens Apt. 343, Shannonhaven, UT 01575",Sales,8.67,92030.04,2023-03-03,IT trainer,17,Meeting with Client,3.36
9198,Kayla Maddox,nicholasbray@example.com,(965)879-0048,"PSC 9307, Box 4882, APO AA 71374",IT,2.03,68366.75,2016-07-23,"Scientist, water quality",2,Working on Project A,2.35
8106,Alexander Tate,zamorakristin@example.net,617.926.7735x9132,"005 Mark Land Suite 368, West Ericstad, CT 24382",Sales,3.66,43387.59,2005-02-06,Fine artist,18,Research,1.66
7193,Katrina King,mcleanmitchell@example.net,(449)479-0492,"832 Jason Locks, Andradeville, RI 60997",Sales,1.57,119596.79,2015-02-27,"Designer, graphic",14,Working on Project A,4.56
9544,Melissa Kemp,patrick83@example.com,+1-369-779-6485x84585,"7350 Thompson View, East Rebeccaberg, VT 83213",Sales,4.64,60460.42,2005-02-09,"Teacher, early years/pre",20,Coding,3.33
1067,Stephanie Peterson,katietorres@example.com,+1-492-341-5960,"7945 Monica Prairie, South Laurastad, MI 77617",HR,8.15,57572.7,2001-11-24,"Biochemist, clinical",5,Research,1.01
9000,Gary Johnson,shannonhoward@example.org,5327366324,"8590 Mark Junctions, Morganstad, PW 08615",Marketing,3.03,64768.51,2008-04-17,Network engineer,6,Meeting with Client,0.07
4578,Mr. Jason Haynes,jbailey@example.net,5077929237,"8851 Hobbs Falls, Port Meghan, UT 49170",IT,5.7,108139.76,2004-10-11,Industrial/product designer,19,Working on Project A,3.5
7656,Craig Hancock,ttorres@example.org,686-959-0107x97498,"490 Wu Trace Apt. 526, Port Janicestad, AS 75556",HR,8.48,71062.78,2001-08-19,Personnel officer,2,Working on Project A,0.61
6754,Kenneth Johnson,freemanjoseph@example.net,+1-733-322-7347x60802,"0260 Hicks Burgs, Reynoldsstad, VT 12376",HR,6.28,104696.96,2013-08-05,Exercise physiologist,20,Working on Project A,3.68
4562,Christian Cervantes,johnbryant@example.net,+1-754-899-1323x1521,"356 Miller Tunnel Apt. 164, Williamsonville, MS 24306",Sales,8.11,100081.78,2014-09-13,Animal technologist,1,Research,2.18
6915,Brittany Kelly,hstone@example.net,520.999.7397x8724,"48343 Ricky Locks, West Drewstad, DE 82769",IT,4.44,118812.43,2019-03-10,Music tutor,2,Meeting with Client,4.48
7548,Richard Hahn,hallroberto@example.com,001-459-563-4918x049,"884 Jo Passage, New Emily, OK 43274",HR,8.29,54973.0,2004-10-01,Newspaper journalist,20,Meeting with Client,3.17
1547,Jamie Williams,oburnett@example.org,902-660-1040x73274,"59117 Krause Shores Suite 120, Francoland, NC 45081",Marketing,3.74,71754.61,2020-04-11,Comptroller,5,Coding,4.42
2999,Kathryn Martin,xharris@example.com,232.897.9218x529,"6605 Ryan Isle, New Duaneberg, NY 90442",HR,9.82,100157.61,2001-09-26,Risk manager,18,Research,4.11
5494,Alexandra Bishop,dennisnathaniel@example.com,(240)908-4856x76074,"937 Lisa Ramp, Candaceshire, KY 99770",Marketing,5.18,99296.95,2002-12-09,Manufacturing engineer,17,Meeting with Client,0.31
6716,Kaitlyn Grant,craig63@example.net,627-787-1019x192,"Unit 6123 Box 9448, DPO AE 57141",Marketing,2.31,51667.27,2010-03-14,"Civil engineer, contracting",19,Meeting with Client,0.1
4322,Wesley Mcguire,jenniferadkins@example.org,904-880-3776x3768,"622 Chris Shoals Apt. 889, New Robertchester, FM 09275",Sales,9.9,52865.2,2015-07-16,Psychiatric nurse,20,Working on Project A,4.4
8559,Monique Ballard,xstewart@example.com,(814)993-3122x9497,"593 Steele Course Apt. 871, Port Kennethland, SD 90660",Marketing,6.53,90267.48,2013-01-15,"Administrator, sports",1,Working on Project A,3.44
8495,Julia Hull,jimenezbrenda@example.net,428-818-8724x142,"3627 Smith Cliffs, Petersenmouth, MP 28125",IT,8.71,115712.17,2020-04-17,Dramatherapist,17,Meeting with Client,3.12
3138,Abigail Tyler,groberts@example.org,412.253.4177x60154,"6123 Keith Islands Apt. 613, North Anthonybury, OK 41610",HR,3.8,46462.77,2016-11-16,Tourism officer,1,Coding,4.2
7254,Jacob Greene,jeffreycoffey@example.org,+1-828-587-7001x29199,"565 Moore Spur Suite 321, Port Mirandaview, MA 56369",Sales,9.21,110050.75,2021-11-18,Occupational psychologist,7,Meeting with Client,0.44
1790,Michael Ho,nlittle@example.net,(834)891-4667x433,"Unit 5244 Box 7223, DPO AP 22827",HR,2.24,110952.93,2000-07-18,Mining engineer,6,Coding,4.06
6571,Rebecca Wilson,francobrian@example.com,897-309-2681x7022,"92470 Brian Manor, Williamsshire, OR 42947",Marketing,5.54,68909.4,2006-03-09,Industrial buyer,20,Research,2.88
2293,Erin Pace,smithmorgan@example.net,001-359-340-9370x863,"7002 Richard Inlet Suite 249, Port Tracybury, MP 09279",Sales,1.85,76863.3,2004-02-09,Ecologist,9,Meeting with Client,1.63
1595,Ronald Ruiz DVM,vguerrero@example.net,+1-578-560-4694x849,"87911 James Neck Suite 289, Byrdstad, CO 46393",Marketing,2.73,116598.09,2002-06-30,Commercial/residential surveyor,2,Coding,1.7
3016,Mark Levine,jacksontyler@example.net,(867)659-7369,"2824 Robert Run, South Randy, NJ 03091",IT,2.52,48749.09,2012-01-31,Probation officer,12,Meeting with Client,2.07
4358,Linda Gordon,anthony51@example.com,001-666-850-2514x401,"8583 Moore Hill Apt. 690, West Adrian, VI 14010",Sales,7.18,53939.56,2023-05-27,"Social research officer, government",8,Coding,1.48
5795,Marcia Owens,michaelpatterson@example.com,+1-831-647-1174x10147,"9785 Vasquez Fords, Lake Craigburgh, DE 60341",Sales,6.1,97448.32,2006-12-09,Purchasing manager,5,Meeting with Client,1.49
1379,James Cox,stephanieross@example.com,355.792.4900x0421,"785 Weaver Via, Stephanieside, OR 71905",HR,2.76,56342.89,2014-06-17,"Designer, textile",5,Meeting with Client,0.94
6617,Ronald Cruz,victoriamyers@example.org,001-995-543-5536,"01310 Sanchez Crossroad, Kimborough, WI 78839",HR,1.78,60570.85,2020-01-08,"Engineer, aeronautical",16,Working on Project A,0.7
2401,Michelle Hunter,zacharykelly@example.net,001-889-685-5660,"18059 Brittany Shore Apt. 723, Martinezside, FL 07094",Sales,6.85,79400.65,2020-05-04,Sports administrator,12,Meeting with Client,0.39
6893,Robert Dalton,sking@example.net,664.265.4844x6108,"13651 John Stravenue, East Michaelaton, PW 71823",IT,6.84,36017.36,2008-02-03,"Radiographer, diagnostic",19,Coding,1.45
2415,Stephen Garner,fhoward@example.org,+1-253-704-8386,"6957 Scott Port Suite 893, New Jacob, GA 77164",Sales,1.42,115027.66,2004-03-10,Race relations officer,6,Coding,1.76
6789,Hannah Alvarez,cgomez@example.com,+1-510-803-8595,"152 Christopher Estate Suite 678, Port Amanda, NC 22959",IT,4.98,97814.27,2004-08-19,Industrial buyer,5,Working on Project A,1.1
9160,Bryce Aguilar,catherinerobinson@example.org,274.765.3854x09012,"49255 Blackburn Cliffs Apt. 389, West Taylor, PA 65371",Sales,3.46,117489.57,2008-04-20,Sports development officer,7,Working on Project A,1.34
9448,Samantha Wood,moralesveronica@example.com,991.404.5877x8407,"78271 Friedman Drive Apt. 247, Port Kathleen, IA 31252",Sales,8.08,30478.43,2006-02-27,Ambulance person,12,Coding,0.46
1685,Karen Bowen,paulmay@example.com,488.509.5309,"9535 Fuller Lakes Apt. 579, Meyerville, GA 57107",Marketing,4.14,76859.19,2015-09-18,"Research officer, political party",16,Meeting with Client,4.71
1971,Veronica Wilkerson,estesdylan@example.net,+1-661-665-4808x052,"9807 Ashley Summit, South Bryan, IL 31629",Sales,3.75,82607.46,2004-03-16,Chief of Staff,9,Coding,2.76
2285,Lisa Caldwell,westdaniel@example.net,459.480.3023,"0421 Alice Prairie, South Haroldmouth, DE 47544",IT,5.33,32547.52,2018-05-31,Television production assistant,15,Research,0.79
9097,Barbara Bennett,ewilliams@example.com,001-827-495-9056x039,"48052 Nelson Trafficway Apt. 477, North Daniellechester, MN 20508",HR,4.5,75960.6,2018-06-06,"Conservator, museum/gallery",7,Meeting with Client,0.8
5100,Bobby Briggs,gtucker@example.com,628-379-8556,"92278 Scott Overpass, Hansonview, OR 90030",Sales,2.34,61761.55,2012-07-07,Race relations officer,6,Working on Project A,3.68
4820,Michael Berg,hoffmanlisa@example.com,353.353.6231,"9998 Joseph Fall, Port Rickychester, AL 64958",HR,3.97,73843.47,2001-10-23,Archaeologist,15,Working on Project A,1.62
6244,Andre Ellis,jamesshields@example.org,716-272-4870x9616,"215 Johnson Points Suite 903, Port Heidiville, ND 23155",Marketing,3.23,33943.55,2022-02-05,Manufacturing engineer,7,Meeting with Client,3.16
5689,Rebecca Morrison,cindy40@example.org,286.735.7370x82461,"783 Lozano Plain Suite 886, West Adam, AZ 90074",HR,1.79,85429.96,2018-02-05,Estate agent,16,Research,2.95
4382,Tracy Tanner,millerdavid@example.com,001-730-336-3033x207,"26332 Lisa Ford, Lake Jacquelineport, AL 63784",Sales,8.2,104159.03,2005-06-17,"Designer, fashion/clothing",6,Working on Project A,0.97
3133,Aaron Rose,robertnguyen@example.org,5863600136,"2587 Lynn Inlet, Brownmouth, MH 99746",HR,3.31,61421.31,2020-07-26,"Librarian, public",3,Coding,3.56
5740,Jennifer Wu,bellis@example.org,001-463-649-4686x9081,"43851 Holt Inlet Suite 825, North Josephport, NH 18786",IT,6.51,40118.01,2006-01-09,"Presenter, broadcasting",3,Research,0.89
3768,Denise Robertson,fmichael@example.com,665.564.5328,"4042 Owen Ways Apt. 423, Robertside, PW 04961",Sales,8.59,105664.62,2014-09-22,Medical secretary,10,Coding,1.92
7826,Brett Mccarthy,kathrynkaufman@example.com,224-652-5687,"114 Long Extensions, Simonside, NC 87443",IT,5.89,102379.82,2004-02-24,"Designer, furniture",8,Working on Project A,2.9
5069,Raymond Cruz,nicholsongloria@example.org,373-689-7400,"3433 Andrew Extensions Apt. 855, Lake Alexanderfurt, TX 22874",HR,3.85,119930.88,2007-10-13,Immigration officer,6,Working on Project A,4.76
1214,Tony Williams,tyler53@example.org,852.286.0584x2971,"1357 Harper Tunnel, New Danny, GA 50605",Marketing,8.53,45565.29,2010-10-25,Dietitian,1,Meeting with Client,1.7
1734,Mrs. Crystal Smith,iwagner@example.org,+1-266-614-5849x3454,"USNV Mcbride, FPO AP 95342",HR,1.07,73364.83,2014-07-11,"Engineer, maintenance",20,Meeting with Client,2.2
1307,Daniel Campbell II,donald00@example.com,(810)728-6938x097,"3968 Anthony Locks Suite 210, Port Edgarchester, WI 71653",HR,7.9,35139.85,2009-07-12,Industrial/product designer,3,Research,3.6
2251,Jennifer Barry,richardklein@example.net,(593)880-4695x30820,"2488 Eric Common Apt. 381, West Jennifer, RI 38698",HR,3.74,119457.31,2000-03-23,"Radiographer, diagnostic",13,Meeting with Client,3.56
9620,Erika Gutierrez,bbates@example.com,304.324.8512x2425,"PSC 4320, Box 6750, APO AA 00769",HR,3.32,93960.54,2023-01-19,"Editor, commissioning",16,Research,0.95
5425,Heather Malone,jacksongavin@example.org,839.668.7835x86251,"605 Jones Fords Apt. 068, West Mark, MH 22907",IT,1.99,78601.89,2009-05-08,"Chemist, analytical",1,Coding,3.57
2446,Sarah Jennings,johnphillips@example.org,691-601-4656,"513 Max Villages Suite 841, New Courtneymouth, MS 97085",Sales,7.3,78607.99,2020-08-06,Pensions consultant,4,Meeting with Client,0.59
7081,Casey Blankenship,james30@example.org,534-397-9932x836,"550 Avila Parkways, New Howardview, DE 23376",Sales,8.54,35356.33,2023-07-18,Emergency planning/management officer,15,Meeting with Client,3.89
4233,Megan Hammond,harry14@example.net,690-436-5342x6237,"5724 Melendez Junctions Suite 227, South Michaelport, PR 13263",Marketing,9.11,109863.03,2017-08-17,Museum/gallery exhibitions officer,2,Meeting with Client,2.02
2874,Wesley Cook,hudsonkeith@example.org,+1-719-619-5780x541,"47081 Robert Causeway Apt. 584, New Karen, SD 94681",Marketing,9.46,116428.88,2016-07-15,Museum/gallery curator,18,Coding,2.79
3778,Nichole Howell,ddiaz@example.com,376-446-3624x14017,"480 Kramer Key, East Jeffreymouth, NY 15967",Sales,7.0,99232.67,2023-06-13,Sales executive,17,Coding,4.37
6115,Joanne Brown,alanmendoza@example.net,+1-564-597-4777x031,"3533 Michael Parks, West Johnstad, MI 10793",IT,5.67,38281.45,2013-04-28,"Surveyor, rural practice",5,Working on Project A,1.92
5677,Roger Smith,hartmandonna@example.org,+1-523-822-8099x18153,"364 Bryan Lakes Apt. 435, East Scott, PR 66913",IT,2.06,93057.58,2004-02-28,"Editor, film/video",16,Working on Project A,1.87
